英文,重置版,旧版
Ability,异能,能力
Active,当前,激活
Active Location,当前地区,激活地区
Active Player,当前玩家,激活玩家
Assault,袭击,强袭
Boon,增益,恩惠
Deal,分发/造成,分配/造成
Deck,牌库,牌组
Dial,转盘,指示板
Draw,抽取,补
Elimination,退场,淘汰
Engage,交战,交锋
Fellowship,同盟,远征
Hide Test,躲藏检定,藏匿测试
Immune to player card effects,免疫玩家卡牌效果,免疫玩家的卡牌效果
Increase,增加,提升
Instead,改为,以代替
Leadership,领袖,领导
Middle-Earth,中洲,中土
Out of Play,位于场外,不作为在场
Phase,环节,阶段
Quest,探险,任务
Ranged,远程,远攻
Ready,重整,重置
Reduce,减少,降低
Resolution,结果,决议
Restricted,受限,限制
Reveal,翻开,展示
Search,查找,搜寻
Setup,准备,布置
Shadow,魔影,暗影
Side Quest,次要探险,分支任务
Stage,阶段,场景
Staging,探查,集结
Staging Area,探查区,场景区
Surge,涌动,涌现
Trait,特性,属性
Travel,游历,探索
Treachery,诡计,阴谋
Unique,独特,独有
Victory Display,胜利区,胜利点计数区
Victory X,胜利 X,胜利点 X
When Revealed,翻开时,展示后
